编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,商家地址,月销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佳美生活"，"点我对话"),佳美生活,佳佳红枣批发 鲜核桃,15389137796,13389135809,,https://shop58196842.taobao.com,48,陕西省渭南市,,,4.80328分,0.11%,4.78689分,-1.02%,4.7541分,-1.82%,,,,,,,,,,
2,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧美直营店"，"点我对话"),欧美直营店,欧美便利店,,13426702003,,https://shop69722712.taobao.com,0,广东省江门市,,99.8%,5.0,100.00%,4.92857,56.62%,5.0分,100.00%,,,,,,,,,,
3,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaorietar"，"点我对话"),rietar,洁科防护用品商城,,13560816031,,https://shop67765576.taobao.com,10755,广东省东莞市,,98.3%,4.7102分,-2.26%,4.77143分,-1.47%,4.7582分,-1.86%,,,,,,,,,,
4,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoshortcuk"，"点我对话"),shortcuk,深圳铖镒顺科技,,13603071057,,https://shop264862.taobao.com,203,广东省深圳市,,98.6%,4.2分,-13.57%,4.2分,-13.85%,4.2分,-13.93%,,,,,,,,,,
5,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao盛大蜂业"，"点我对话"),盛大蜂业,盛大蜂业蜂机具工厂店,,13619885194,,https://shop105495885.taobao.com,599,河南省许昌市,,98.6%,4.736分,-1.51%,4.824分,0.25%,4.888分,29.02%,,,,,,,,,,
6,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao添儿车饰"，"点我对话"),添儿车饰,美国龙膜LLumar示范店,,13817700781,,https://shop35878228.taobao.com,3,上海市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
7,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolangelove"，"点我对话"),langelove,晨曦户外雪具店,,13717867106,,https://shop36722818.taobao.com,697,北京市,,,4.9068分,39.45%,4.9368分,52.38%,4.93676分,51.64%,,,,,,,,,,
8,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao就做全网最低"，"点我对话"),就做全网最低,渔客精品钓具,,15830474618,,https://shop102264462.taobao.com,94,河北省沧州市,,97.5%,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
9,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao幸福时光照片墙"，"点我对话"),幸福时光照片墙,海洋画廊原创手绘真迹,,18151226828,,https://shop108927508.taobao.com,0,江苏省常州市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
10,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofengzaiwudide"，"点我对话"),fengzaiwudide,一家壹木业,,17767167774,,https://shop103826846.taobao.com,1121,浙江省杭州市,,99.9%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
