类型,店铺名,店链接,商品名,商品链接,旺旺名,信用,电话1,电话2,销量,中评,差评,好评率,描述,描述同比,服务,服务同比,物流,物流同比,公司名,所在地,类目Id,类目
淘宝,大连辽洋海味零食店,https://shop60161619.taobao.com/,大连玉洋 海王九岛太极虾 鲜味真空即食虾仁 海鲜特产零食250克,https://item.taobao.com/item.htm?id=522163808999,大连19850429,16,13478919223,,0,0,0,0,4.8723,高于33.19%,4.90512,高于42.19%,4.8992分,高于36.17%,,,0,
企业,818健身器材,https://shop35258675.taobao.com/,杠铃杆划船平行把手爆发力练背拉背马鞍背肌地雷架炮筒核心训练器,https://item.taobao.com/item.htm?id=565137878261,燕赵文化礼品,13,0312-2588027,13785286055,0,0,0,0,4.78589,低于1.24%,4.76399,低于2.12%,4.78832分,低于1.66%,,,0,
淘宝,阳阳天使童装,https://shop34291329.taobao.com/,女童洋气外套中大童装儿童风衣13女孩12春装15岁春秋款2021年春季,https://item.taobao.com/item.htm?id=564920665015,zq3943500,16,18252551109,18252551109,0,0,0,0,4.84332,高于7.76%,4.87167,高于9.56%,4.87753分,高于8.17%,,,0,
淘宝,伊诺美家,https://shop100780641.taobao.com/,定做椅套桌椅套布艺套装家用酒店餐厅餐凳子套椅子套罩加厚棉麻,https://item.taobao.com/item.htm?id=569348534833,伊诺美家,11,,13294236638,0,0,0,0,4.87671分,高于31.74%,4.90411分,高于39.14%,4.90411分,高于36.96%,,,0,
淘宝,YUANYIN原隐阿毛极简,https://shop63520799.taobao.com/,原隐复古加厚秋冬马海毛中长款粗棒灯笼袖长袖宽松上衣开衫毛衣女,https://item.taobao.com/item.htm?id=560949133417,黑羽圣域,12,,18740810518,0,0,0,0,4.90995分,高于47.54%,4.94313分,高于58.81%,4.93839分,高于53.42%,,,0,
淘宝,艾玛礼物EMMAGIFT,https://shop57093940.taobao.com/,JS创意海豚拍拍灯鲸鱼生日少女心礼物送女朋友带礼盒新年闺蜜走心,https://item.taobao.com/item.htm?id=559376514941,小浣熊婷儿,15,,18857375346,0,0,0,0,4.87155分,高于28.88%,4.92356分,高于51.48%,4.91604分,高于44.80%,,,0,
淘宝,安且吉兮户外园艺,https://shop116404948.taobao.com/,户外阳台防腐木地板庭院休闲实木景观平台花园草坪大台阶组合坪台,https://item.taobao.com/item.htm?id=559869561821,aj_赵健楠,12,,18757252154,0,0,0,0,4.92063,高于42.56%,4.92593,高于37.56%,4.92593分,高于35.57%,,,0,
企业,小圆妈妈,https://shop105133654.taobao.com/,单本咨询 圆妈推荐4本启蒙幼儿宝宝昆虫益智故事书绘本男女孩礼物,https://item.taobao.com/item.htm?id=556399291071,猪肉馅饼77,14,,13502859108,0,0,0,0,4.83898,高于5.22%,4.87737,高于13.59%,4.87238分,高于4.33%,,,0,
企业,集成墙板新型材料厂,https://shop110665556.taobao.com/,300mm600mm宽400竹木纤维pvc石塑钢快装集成墙板护墙板生产厂家,https://item.taobao.com/item.htm?id=555382463378,lxscpk,9,15837396824,18603739625,0,0,0,0,4.92105,高于8.51%,4.92105,持平0.10%,4.88596分,低于0.71%,,,0,
淘宝,拓亿仕兵人偶模玩,https://shop60964866.taobao.com/,现货Fire Girl Toys 1/6 铁血战士异形契约 幼虫 扒脸虫 场景道具,https://item.taobao.com/item.htm?id=551167338521,御车族批发投诉售后,14,0591-87339089,18659196056,0,0,0,0,4.90076分,高于31.06%,4.9084分,高于25.35%,4.92366分,高于37.12%,,,0,
企业,传播者饮品体验中心,https://shop125213277.taobao.com/,比亚乐 韩国进口蜂蜜柚子茶1150g 蜜炼水果味果酱 水果茶冲饮饮料,https://item.taobao.com/item.htm?id=520363522641,linggancafe,11,021-32569899,13681778771,0,0,0,0,5.0,高于100.00%,5.0,高于100.00%,5.0分,高于100.00%,,,0,
淘宝,六合天云阁,https://shop115993749.taobao.com/,天然根雕花架底座原木客厅盆景鱼缸架实木树根艺阳台摆件大盆绿萝,https://item.taobao.com/item.htm?id=547100453803,zxg91888888,12,,18005993639,0,0,0,0,4.84255分,低于1.45%,4.8766分,低于0.93%,4.79149分,低于2.63%,,,0,
淘宝,昨日田园,https://shop35286052.taobao.com/,欧式乡村复古做旧烛台烛光晚餐道具家居浪漫灯蜡烛台婚庆四头铁艺,https://item.taobao.com/item.htm?id=561276217546,happyxiaoqianqian,14,,15861328921,0,0,0,0,4.76112分,低于3.11%,4.82702分,低于1.94%,4.86161分,低于1.21%,,,0,
淘宝,一人二两农家小店,https://shop70131814.taobao.com/,桂圆肉干500g包邮无核广西特级龙眼肉干6A干桂圆肉新货无核煲汤料,https://item.taobao.com/item.htm?id=522197101122,贰爱壹家居,16,,18107570230,0,0,0,0,4.80715,持平0.10%,4.83109,持平0.10%,4.8162分,低于0.53%,,,0,
淘宝,华麟拼装玩具,https://shop59711624.taobao.com/,皇冠桌上冰球机空气桌气悬球家庭体育亲子玩具儿童礼物3-6-8岁男,https://item.taobao.com/item.htm?id=9626822205,apple070331,13,,18970074365,0,0,0,0,4.87188,高于24.58%,4.8875,高于20.73%,4.8625分,持平0.10%,,,0,
企业,温馨家苑,https://shop34066911.taobao.com/,美式钢琴罩半罩现代简约钢琴布巾欧式轻奢公主布艺防尘三件套全罩,https://item.taobao.com/item.htm?id=556250748978,温馨家苑,13,0570-7015852,13567067987,0,0,0,0,4.9578,高于76.63%,4.96514,高于77.87%,4.94495分,高于63.81%,,,0,
淘宝,曦淇家居工厂直销,https://shop61294748.taobao.com/,欧式干果盘糖果盒分格带盖客厅创意水果盘茶几瓜子零食盒实木包邮,https://item.taobao.com/item.htm?id=566388541021,一缕缕晨曦,13,13922105959,18820001616,0,0,0,0,4.87426分,高于30.38%,4.89793分,高于35.21%,4.89645分,高于31.92%,,,0,
淘宝,万和园艺,https://shop34206668.taobao.com/,GREEN CROSS 玫瑰打刺钳 除刺钳 花艺工具 玫瑰去刺工具 日本进口,https://item.taobao.com/item.htm?id=548098697237,siruiliang,14,,13597821680,0,0,0,0,4.91057分,高于35.28%,4.92683分,高于38.32%,4.93699分,高于45.19%,,,0,
淘宝,云南普洱茶 云南金璞,https://shop104727487.taobao.com/,云南普洱茶 醇正勐海陈香宫廷 普洱散茶 熟茶 1000克 木盒装 包邮,https://item.taobao.com/item.htm?id=22436771378,云南金璞号,11,,15887051592,0,0,0,0,4.88189,高于38.05%,4.90551,高于42.38%,4.88976分,高于30.22%,,,0,
